ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00157,12,1,2,4,80.3461538461539,1,1,0,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00179,13,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,30000,000,KILOGRAMO,12,1,0,000, , , , ,30000,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00291,00198,14,1,2,4,80.3461538461539,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,15000,000,KILOGRAMO,12,1,0,000, , , , ,0,000,15000,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00007,1,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,20,000,CARGA,09,50,0,000, , , , ,20,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00008,2,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,CARGA,09,50,0,000, , , , ,1000,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00019,3,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,50,000,CARGA,09,20,0,000, , , , ,50,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00025,4,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,50,000,CARGA,09,50,0,000, , , , ,50,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00044,5,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,300,000,CARGA,09,20,0,000, , , , ,300,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00056,6,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,25,000,CARGA,09,50,0,000, , , , ,25,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00069,7,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,45,000,CARGA,09,50,0,000, , , , ,45,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00126,11,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,25,000,CARGA,09,50,0,000, , , , ,25,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00144,12,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,50,000,CARGA,09,50,0,000, , , , ,50,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00146,13,1,2,4,74.6071428571428,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,200,000,ATADO,02,6,0,000, , , , ,200,000,0,000, 
2021,20,PIURA,02,AYABACA,01,AYABACA,00322,00164,14,1,2,4,74.6071428571428,1,1,1,1,CAMOTE,2603,RASTROJO DE CAMOTE,4120,50,000,TERCIO,20,15,0,000, , , , ,50,000,0,000, 
