ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1205,P1205_NOM,P1205_COD,P1205_TIPO,P1206_SUP_1,P1206_SUP_2,OMICAP1200_02
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00045,6,1,1,1,9.76923076923077,1, ,1,1,0,1,3,COCOTERO,1128,2,0,040, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00050,7,1,1,1,9.76923076923077,1, ,1,1,0,1,1,YUCA,2620,1,0,450, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00050,7,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MAIZ CHOCLO,2109,1,0,450, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,1,PAPAYA,1163,2,1,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,2,YUCA,2620,1,1,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,3,MAIZ CHOCLO,2109,1,0,350, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,4,LIMON ACIDO,1140,3,0,300, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,5,LIMA,1139,2,0,004, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,6,MANGO,1147,2,0,008, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00060,8,1,1,1,9.76923076923077,1, ,1,1,0,1,7,PASTO SUDAN,1466,3,0,088, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1, ,1,1,0,1,1,LIMON ACIDO,1140,3,0,445, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1, ,1,1,0,1,2,NARANJO,1156,2,0,035, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1, ,1,1,0,1,3,MANGO,1147,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,1,1,1,9.76923076923077,1, ,1,1,0,1,1,MANGO,1147,2,0,370, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00081,10,1,1,1,9.76923076923077,1, ,1,1,0,1,2,NARANJO,1156,2,0,070, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,1,LIMON ACIDO,1140,3,0,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MAIZ CHOCLO,2109,1,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,3,PLATANO,1171,3,0,025, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,4,MANGO,1147,2,0,008, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,5,PASTO SUDAN,1466,3,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,6,PASTO ELEFANTE,1424,3,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1, ,1,1,0,1,7,NARANJO,1156,2,0,004, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1, ,1,1,0,1,1,YUCA,2620,1,1,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1, ,1,1,0,1,2,MAIZ CHOCLO,2109,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1, ,1,1,0,1,3,MANGO,1147,2,0,090, 
