ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00055,8,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,200,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00055,8,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,100,000
2021,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00055,8,1,1,1,8.23015873015873,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,300,000
2021,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00069,00006,1,1,1,1,21.1538461538462,1,1,1,1,PASTO CHILENO,1416,3,2,1,1,5,000
2021,24,TUMBES,03,ZARUMILLA,03,MATAPALO,00069,00066,3,1,1,1,21.1538461538462,1,1,1,4,PASTO CHILENO,1416,3,2,1,1,5,000
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00080,14,1,1,1,128.214285714286,1,1,1,1,PASTO CHILENO,1416,3,2,2,1,1500,000
2021,20,PIURA,05,PAITA,05,LA HUACA,00088,00080,14,1,1,1,128.214285714286,1,1,1,1,PASTO CHILENO,1416,3,2,2,2,2500,000
2021,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00012,1,1,1,1,199.444444444444,1,1,1,3,PASTO ELEFANTE,1424,3,1,3,2,600,000
2021,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00012,1,1,1,1,199.444444444444,1,1,1,3,PASTO ELEFANTE,1424,3,1,3,3,500,000
2021,20,PIURA,06,SULLANA,05,MARCAVELICA,00130,00012,1,1,1,1,199.444444444444,1,1,1,3,PASTO ELEFANTE,1424,3,1,3,1,750,000
2021,20,PIURA,06,SULLANA,04,LANCONES,00161,00004,1,1,1,1,128.214285714286,1,1,1,1,PASTO ELEFANTE,1424,3,1,4,2,1500,000
