ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00490,00094,12,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,100,00,KILOGRAMO,12,1,0,00, , , , ,50,00,50,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00519,00005,2,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,33,00,UNIDAD,24,1,15,00,12,00,180,12,15,00,3,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00519,00019,3,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,44,00,KILOGRAMO,12,1,0,00, , , , ,40,00,4,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00519,00059,8,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,80,00,KILOGRAMO,12,1,40,00,10,00,400,10,20,00,20,00, 
2021,20,PIURA,03,HUANCABAMBA,01,HUANCABAMBA,00519,00088,11,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,130,00,KILOGRAMO,12,1,70,00,10,00,700,10,30,00,30,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00009,2,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,80,00,UNIDAD,24,1,50,00,10,00,500,10,30,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00038,7,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,210,00,UNIDAD,24,1,150,00,10,00,1500,10,60,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00047,8,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,100,00,UNIDAD,24,1,50,00,10,00,500,10,30,00,20,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00048,9,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,36,00,UNIDAD,24,1,0,00, , , , ,36,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00077,13,1,2,4,74.6071428571429,1,1,1,1,1,1,REQUESON,4209,2,00,KILOGRAMO,12,1,2,00,8,00,16,8,0,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00544,00079,14,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,80,00,UNIDAD,24,1,0,00, , , , ,80,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00545,00028,4,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,32,00,KILOGRAMO,12,1,25,00,12,00,300,12,7,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00545,00041,6,1,2,4,74.6071428571428,1,1,1,1,1,1,QUESO,4208,30,00,KILOGRAMO,12,1,25,00,12,00,300,12,5,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00553,00031,4,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,93,00,KILOGRAMO,12,1,60,00,16,00,960,16,33,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00553,00046,6,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,108,00,KILOGRAMO,12,1,58,00,15,00,870,15,50,00,0,00, 
2021,20,PIURA,03,HUANCABAMBA,03,EL CARMEN DE LA FRONTERA,00553,00105,13,1,2,4,74.6071428571429,1,1,1,1,1,1,QUESO,4208,100,00,KILOGRAMO,12,1,100,00,11,00,1100,11,0,00,0,00, 
